"HolderAddress","Balance","PendingBalanceUpdate"
"0xcdcebf1f28678eb4a1478403ba7f34c94f7ddbc5","2468750","No"
"0xfac58bcb27dabe2077aa807fc47b91f6646d4b90","136059.705718727","No"
"0x1090cdfd5e7aac76248665d530b0a63d4da3f9a5","290754.454834548","No"
"0x4d34c08f9bed000df0fdee895fceca5373b39daf","307855.73017318","No"
"0xc0735dc9bd6a7d16826dbce01863970cf3881397","307588.843656384","No"
"0xdd14f3b17c08f9183d5390c31280bbb321491bda","300000","No"
"0x97ff8a30118bbd80c219bf1f8d5ae8c6a71a1dcf","149261.958189118","No"
"0x4501042eb39ae9185919f94533df5324d8232be5","150000","No"
"0x7d64f03a7a15e6082d1371c82c59770d73b4f8aa","1365056.78883373","No"
"0x42967fe8f5a4fc9afb31558378b77d61cb8ce56a","62500","No"
"0x5a1c53d17d9e5d81fa2b985147c78b3fdffdf51b","12325.3299108741","No"
"0x2da40d78e7b3af22bbd672a8f3146682faec9641","62500","No"
"0x5d76a92b7cb9e1a81b8eb8c16468f1155b2f64f4","0.0045293785282647","No"
"0x10780f38d60c2ff38137ff17d114b453cd460bf4","31250","No"
"0xcf8bcac27f0b7a32fd9ec07b81cd2cf4d14e32a1","24781.7504813731","No"
"0x3650cde7403d45f09e34f2d3704ad8e1c02b5c58","375000","No"
"0xbba5ebe53e7ea486c527b901e02761a74d4be07f","291891.918142158","No"
"0xbb19053e031d9b2b364351b21a8ed3568b21399b","20162.2808131237","No"
"0x1e26fe447505d58c35c7fbce2f197099c58a06a4","375000","No"
"0x1c39babd4e0d7bff33bc27c6cc5a4f1d74c9f562","19909.262202053","No"
"0x84525d09fc9a0a3978e12a00e684d5cac1f52c79","375000","No"
"0xbf8dce5bc97da4ad219b2005e6a61d52cf7e69fb","285591.697829372","No"
"0xfa98226f05b1db1a454d0d4b0dd2efebb80e74d2","291206.27682927","No"
"0xf227494f11fdcfe35b49dcce220928c86c62a571","311002.402101445","No"
"0xb79ae2655a5884e9c474ab9015d662bb825e58ce","375000","No"
"0x1542326f181340ea035687c604f2c99803c62c32","375000","No"
"0x06808e6d257e06236bfe1db74fd62c1f582806af","375000","No"
"0xbe7760adb8e08218d984d50822e7656d46effd40","375000","No"
"0x1cbad69d9cc22962a0a885921518c06ed2f04ffd","47866.67","No"
"0x736fe4555184778765e4a42d181f6dc2b0b7bf3c","375000","No"
"0x74c3646adad7e196102d1fe35267adfd401a568b","125000","No"
"0x5d217dcc8cb22eafec2dbc372d91e2f6dbb80d26","375000","No"
"0x6d5dda04760f0515dc131ff4df76a5188ffcdfcb","125000","No"
"0x41431b29eca702002a779c8b7f6f9364774c9621","375000","No"
"0xaebfe1e1bd01d4b6baf4b998e7b8dc93182d40e0","145576.592606179","No"
"0x79e970f953c7cfbbb74e05b6df54f75db4a3cad6","375000","No"
"0xe08a8b19e5722a201eaf20a6bc595ef655397bd5","116801.168421811","No"
"0xca054c84ea710f7e0b71c781cf1809b2a261ab99","375000","No"
"0xc9cea7a3984cefd7a8d2a0405999cb62e8d206dc","100000","No"
"0x5fa9ebc0d504429509deccb5c9d2147b4ff8cd26","300000","No"
"0x66c9e1e4fe518cebfe59c9de16e1c780ef5bacd3","100000","No"
"0xb24247d8b7681a2d419ebb8a2796ad385ceac728","300000","No"
"0xd519d5704b41511951c8cf9f65fee9ab9bef2611","100000","No"
"0xc82c28a1478de97dc06438690ae19798951b837e","300000","No"
"0x6aee9dc09702dffab334f3f8e6f3f97c0e7261f4","100000","No"
"0x197fdc04553f243b17344534d5cc23fa7bf969f0","300000","No"
"0x9b71dbccd9ffb858899ef3244b09a5354b16048e","100000","No"
"0xf01e2b33cb2eb0ff45628acebabb5f6daac3849d","300000","No"
"0x4f21734ad1c41affc712da0ed4a43edd1fc9219b","267145.493012126","No"
"0xc8a59ba261f36dd2d1d27c0337bd4e328f004563","267145.245839966","No"
"0x7b556f4405120d270a0321ab55cd35b5957cf519","267146.567260362","No"
"0x5d0ce4389bcb2975c80de0c996ad532eb85ba3bc","267145.131760507","No"
"0x46692225bd0c88f901b88fd279a1d59e69e23a3b","267145.131760507","No"
"0x0b177b7f10faeadd6eee6d2cc46d783f460566c8","50000","No"
"0xe2c1c3fd3e5d67473dbe01fc9cf8f73624f778bf","150000","No"
"0xf96cd1cf416b50b60358a17bc8593060148de422","50000","No"
"0xd4d8583fdb310107dc6f936db23b2d0142139ab8","150000","No"
"0xd3238d8be92fd856146f53a8b6582bc88e887559","50000","No"
"0x000844e0f9f187569d2e8b49b8260fd4a24328fa","150000","No"
"0x0a29500ccc6af0b11c72d4e171d925eb0bb7ee15","50000","No"
"0xf0bc36fa47a052b92da4f50bd042d9e047192a65","150000","No"
"0xdceacfdc8679cc3223541e840a38627e8d2d9fed","50000","No"
"0x4279ffe314dbf5d8fcced919235a72003f871f14","150000","No"
"0x788c0d59aee802ee615b3db138215862247f5960","63314.910768315","No"
"0xef287b8ad0ead84a6c7007ea56c6d46fd06af1a0","136685.089231685","No"
"0x6e33b41e44ca2be27e8f65b5231ae61a21044b4a","52500","No"
"0x2509dc0b4d696a2261d47307a017f88f83295029","157500","No"
"0xdea0d77a9b02020acf075074881f370a31009982","45000","No"
"0xd4b46b14604f8ca35c8e80e497a3f22b85752149","135000","No"
"0x0ed9a1323db9653f4650de782ade8504617ecbd3","30273.7030132882","No"
"0xe1f385da68f138aec8bc5af65ffa39960e34cac7","273696.382337559","No"
"0xef3cb1d826a8940f526b45264be7f47c99770cc2","270492.219907677","No"
"0xb96d57a1d9876913afc1ec2f335f610178893553","300000","No"
"0xf1f7c71cb81ceba1dc5fd659eeb144301df0dbb4","50000","No"
"0x40672889535566711346829a2dfe16e3d060b8be","150000","No"
"0xc9cd5d64fde8919b6a274ad7f31b5a0c7e4b24b6","1781250","No"
"0xb618f903ad1d00d6f7b92f5b0954dcdc056fc533","4909466.06642958","No"
"0xb129f73f1afd3a49c701241f374db17ae63b20eb","4271725.65","No"
"0xcb3d284995e2ed50f8e9971718f2166a95ff83c2","88.1434570376248","No"
"0x209e2766431726c676dcb095df0f257fefaa96b0","0.286781869691858","No"
"0x20b8525552c4824fb7b9ecb15d97147e801622f4","2.50175E-12","No"
"0x21022233ba79bbaf510147abb6ab778878bfecdd","3.2131676728803","No"
"0x22041f8f68c0d9e4bf39847c5a46147230927908","9.24955874609836","No"
"0x22058f5f12a113ec33174ef6a2992c4761dc93d6","0.887646615712922","No"
"0x2215cfac43551bc59eb83bd2f5d299f611765559","1.30295090525292","No"
"0x22e664ed65959e96acd6cbfdc8a25cf5e8909b87","0.229265405454757","No"
"0x24c881832c4f2521edfc9e12ecf2198b531f1e71","3.2307425437864","No"
"0x24d0db7e182fcd29ddea14c04bcb182c89cbb0c0","0.00448448417261057","No"
"0x24ed3b0c0a1cb8fece7e3a25a34e86613234dd04","5.5652790416383E-05","No"
"0x2593ca08fda3c2526409493cd1ffa3f656d0b7c6","0.18286475340067","No"
"0x27737a4e8a7f4ecba3c92fd4fac9e9cddab58bb2","0.367497006505013","No"
"0x2a4de8a61cb7882c06c9c45ea187adbdf7ccc286","0.812040285079281","No"
"0x2e538074de7f314f1d6453b1d0ff4012a4e998f9","0.119769271028956","No"
"0x2eb735b30338a11a37501ab1de10ea880aee4222","1.89344743446598","No"
"0x2efc013eb153387285dd67e720aaee9cc91d3420","0.0393504486960126","No"
"0x30e174e09d96441264d68c253aba9a07e6deeaa9","0.162172217437426","No"
"0x3111b7716dcc3ddf8509b3efc320488e9e39faca","19.7807145104","No"
"0x3336581a28870d343e085beae4cec23f47838899","2.70433083254114","No"
"0x3365489c99a10e333d471fb69780a690665ec896","0.000738561139556695","No"
"0x350ec89238f67f1802dc0111f15f636a9221258c","0.202898984098263","No"
"0x351337ce9bb29ff0be99c35f6a1dbe310cbee310","9.6541451963037E-05","No"
"0x35e3564c86bc0b5548a3be3a9a1e71eb1455fad2","0.00755525211054292","No"
"0x36d2dfcb134eb184d781d749a3b9a3a270a8b005","0.00492444617925942","No"
"0x376e21b6eab3ad3623e4002612c5196c4edfef2a","0.00496051832149869","No"
"0x3787d321e3ece1e4ca7d7449d49a4fb5f85dc447","0.231356241475741","No"
"0x37b11f946730640d1fb12421783c28a6df65a10c","0.101290239846297","No"
"0x38bf2c4c9fa6a92315bee1a1b9b7abf007143a6e","0.0952060373645912","No"
"0x38daea6f17e4308b0da9647db9ca6d84a3a7e195","1.38536802756287","No"
"0x3911093c8d83d42a08410931db2f6c15eeb658fc","0.00227969337560728","No"
"0x3a090f381e18a9e64358f9e75b2a4c07e585be56","0.21377602202818","No"
"0x3bfda5285416eb06ebc8bc0abf7d105813af06d0","0.0110663734961107","No"
"0x3c1fbee01df8bd17ce3fee7d71f418ed26a50096","0.060448726316745","No"
"0x3eaba81dcdd9dfb51510abb2c0e976ab041f7a0d","0.00141633177628591","No"
"0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab","0.0246943151548426","No"
"0x41b96e9c6758d12a7a1f67952466b2e104532604","0.991748392353298","No"
"0x450432cecd74289faa801bdeef9862a2f1f7168e","1.99144869686951","No"
"0x4546e9469b3bc31627f0baa1c508a251ad4fd23f","0.00045230400712447","No"
"0x459b3edb577cb0b25c6c9ae94510900b4a008931","0.08222613985547","No"
"0x47fc2c4fbad979ceac6f10266904e8396de64e86","0.0215715142505509","No"
"0x4807613b486468fc0205d0d02106e745c71ed165","4.74693056403165","No"
"0x486eaab71360a0e7bade22509a86815b1a2eada2","31.1005233859873","No"
"0x487879f338236b992a143f4570913a221261acd7","5.08794356353303","No"
"0x48d9611ead2df8f3429fa5fd3c79a8726314f6b4","0.777457154759672","No"
"0x4c886a26572dd87350847cd13f7996ea87db0ea8","7.44657552778084","No"
"0x4cefd79224517af73dbc6f2c367d9efbb226331c","0.744492397178745","No"
"0x4ecd75004ed3b934e74668e6d26fb362e569c5e7","0.121471687805357","No"
"0x4f862899c42645bec4b73ab20e4d06688f592f6f","0.126145438761394","No"
"0x4fcf1a23768384f6bd4dc656a813c2db74a183da","0.525208388214903","No"
"0x4fdb0379bc200c7bfeb827779098da54f917f5b0","3.64752362291518","No"
"0x4ff10fc3b8a2d0bba351bf874fa245518613ea87","1.57532845900602","No"
"0x505e20c0fb8252ca7ac21d54d5432eccd4f2d076","0.335730430547997","No"
"0x5088cbcb3f6efce3b0813421d89a1e96e87fe60c","0.0253230911097223","No"
"0x53c6b81cbf1eec6f6c02d0b2b9f847ac0808c2e0","0.0624992725419108","No"
"0x53c7c591624f18e452c721a72b34e9cc7de03a74","1.44058826550132","No"
"0x54021e58af1756dc70ce7034d7636de2d2f1fa74","2.5773115957522E-05","No"
"0x5629a77a18fde2cfe35edcbb3213b7855df1c4ed","0.00203536803541668","No"
"0x56318d4c97fe7f0a48756e114e2603a3df98532c","0.0837033961128946","No"
"0x5646e8a2fd17bd53c746deceb7fbc02884820af4","0.020353680359687","No"
"0x567a904799011c2edcdf3d21178b6828b009b446","0.0921184106948067","No"
"0x5681f8178983c5a38cab885e70d5ca2784ce3e61","986.677931926262","No"
"0x56b28f02eb532cca2ef2654919bd772c83e51a38","0.0725947932845227","No"
"0x57c458c1354fee3aba912794709c91180869f953","22.0992493798372","No"
"0x581e0f4638a7c8be735879275b1d47be09e80d14","89.4442683004615","No"
"0x5844615552283374dd1ba95ec54bf83fae63ff10","0.0352797126239642","No"
"0x591ab8cf810fa24e0894e2fe5537f711a70243e2","5.49458908926701","No"
"0x59bf6bf3a7d2b29ffe26f60dc12fad87d7c5f5fb","1.62916176733454","No"
"0x5a2c4bf7c04fcd796e5770ff131c2e38664fdae4","67.571572405","No"
"0x5c6843b1c74f6e8fd7ed2e577c038d4dfde1a664","148.710572644833","No"
"0x5fbec9e9de42620863bf4754fba566591730667f","0.674268700634833","No"
"0x60c03347f1d867f71d0c111acbfa4bb977517989","0.429010351593946","No"
"0x60cb1d89db68ffaf26637375e1686a9cccbbf3d5","0.339454158008584","No"
"0x63a3bf655377e20f316261b83737b7aa68ed50b0","0.0622576464348229","No"
"0x63df7d9d7795883d56ca290f94aba8a6aa4f6f22","0.000787037814377347","No"
"0x64ab3d1b7059665baccd7acb34e3138ad7eb7aba","0.245148772339128","No"
"0x64e482233ca8bbfcd7fbcc670808fa0eb09c5cc3","6.47940273971249","No"
"0x6709e13234b117e9de40a501310ac15b10c4efd3","0.36873773964793","No"
"0x67971887e41526e479293db59caed04d8ca84ec4","0.342846438068653","No"
"0x67ef1199bb04030bde1df0b7ec4d4ad247393c86","5.49521346244768","No"
"0x68fcf4d9d06f8d2185292f7b6c5ce171a70c990e","0.000353259775118173","No"
"0x693c188e40f760ecf00d2946ef45260b84fbc43e","0.000547980483796494","No"
"0x69c86ab28f030ff7ccd2edb362100c17c8e74d6c","19.4614219964884","No"
"0x6a02f83cda58676da4898dc3ece55cb04bdf3604","1008.40111730893","No"
"0x6ae46098813625d3c01aef844fdcc0beff049ebd","0.643241909088932","No"
"0x6ced6e97baab4f441d6342e0e9257e09f1aaff35","11.3773057860601","No"
"0x6d96d7c5083b7e62274af095df87cc29115a4249","0.944303459291334","No"
"0x6ee6107a6c9adb834d6ba0985dda992905526e5a","0.171197067030017","No"
"0x701902858a6a9b6f36603244622732d9ec57a82a","462.652330793424","No"
"0x7184bdb9fc52f6eb84b5c19624592119e9e92e3b","0.71373572463427","No"
"0x71c74716d15edec512e35654fcd79475c7e62347","0.0653579291564043","No"
"0x7277494b37bfe81045daa333bd319e0d33da3860","19.9363756327614","No"
"0x72aa5ad78fb4f2e567a5df833dad12f60b52db63","4.88942265459343","No"
"0x7320c293b590c614ba509e4cb5b40022b0021dfc","0.129344829675852","No"
"0x73267defdcf1adee39bafc18e07f9d44bf470a83","0.346464870132685","No"
"0x735b6a6b61f6ee9f0773fca03dfdfe6b346aa1e9","3.0806E-13","No"
"0x73cf8517f09cae9998933020a02e68c5219fd67f","24.7719064875247","No"
"0x747dcca51350951ba6fd32603a8da8dd745e7da0","0.00655473660361696","No"
"0x7719144fce2013e8c058ce587d75a9a80d6f4cba","344.678740955264","No"
"0x775de94c38d4224c1e99089e02951a82c828616c","0.339454158008584","No"
"0x787b4b7ffef8eddad54f311039acf4c36fec9593","15.958696398866","No"
"0x795f50722cf5ad82f78dda8dc8f7b235332977c3","0.00255257044220043","No"
"0x79c510508e46de9810806d64cff3febd7a26e084","0.0517888089161945","No"
"0x7b3ea6cc4fe5362cbc6d65eb3c21ceff37baa352","0.0115337522035934","No"
"0x7bc6cf1a5c79d8789909f4c0d50a33ff491e1ec5","0.0663035321416482","No"
"0x7cd71037a2d0240336c3f469ddcd598974590263","6.30685948223887","No"
"0x7e5ce10826ee167de897d262fcc9976f609ecd2b","21.211333737489","No"
"0x7eac94ecd60738ebce2baa48004e31e69481a837","0.0521043318786651","No"
"0x7ec118b8b48fb87f7df498e9c2bc30d7f5216a46","0.003844584067459","No"
"0x83850674333a0625ed6d67cea9eb1a7aa2ec70d5","0.0649056251484051","No"
"0x83b9fffba7b9d74edd7c2e88908138c0719f3948","4.069306055027E-06","No"
"0x84c33ce1e7802694cdaf3730ccb13475de196d5f","22.7356350137935","No"
"0x855ece6f975803bfa17a9c9de376d5708d9f19f4","0.0452304008000948","No"
"0x88e0a61798a3ced52f7654a5d79a90737f346631","0.133655834365433","No"
"0x8aad08d3bc4a1b9a069db75e5b2c77d8cf770f74","0.0879731295567578","No"
"0x8ecbfc0936209fcb8e383ec4912e2f74b29897e7","1.0445345762583","No"
"0x8f08ee5e3e44bdc28127e050fcb13f5e4671433d","4.67691721756268","No"
"0x907753f96247ccdc0c7ccf246e3cd3e9f419be87","757.577677496712","No"
"0x91aed2e04e2d8cf20527132e8a801594aa986205","0.171423219034036","No"
"0x9235fd6839b0d8b2fae8c7008365382da79314e6","0.017229623833214","No"
"0x925a2a86b400b7011e82de3a52404b9f83022c93","6901.91681853257","No"
"0x94b51bc877787198d0d6d0dffe878477c3602746","0.143380370537599","No"
"0x967f3bd0496391a879fc672b408e81dff1fb2e80","0.000904608015350956","No"
"0x972f76445cfdaac66e507ffbeea2eeef22a1fef7","0.00363709686409748","No"
"0x9afd4f7ad03a03d306b41a4604ea2928cff78fd1","0.0633225611203631","No"
